"table","in_physical_list","in_biblio","in_metadata","n_categories","dropped_by_ncat_filter","in_tags","reason"
"algner2022_cse",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_mimi16",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_mimi_pool",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_oss",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_psgbi",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_sia",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_tis",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_uwes",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"algner2022_wis",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"alkouri_2025_coping",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"alkouri_2025_icu_stressors",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"alomari_2025_student_questionnaire",TRUE,TRUE,TRUE,3,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"arora2025_blueq_asynchronous",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"arora2025_blueq_pedagogical",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"arora2025_blueq_synchronous",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"atmadjaja_2026_cultural_intelligence",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"atmadjaja_2026_intention_to_stay",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"atmadjaja_2026_pos",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"atmadjaja_2026_work_engagement",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"avilesgonzalez2019_ces",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"baka2023_bpnsf",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"baka2023_jcs",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"baka2023_olbi",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"baka2023_uwes",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bakker_2020_pss10",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bakker_2020_rses",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bakumenko_2023_adyghe_values",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"balmas2018_leader_attitudes",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"balmas2018_leader_personality",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
